activity_id,recruiter_id,activity_date,calls_made,emails_sent,submissions,interviews_scheduled,placements
1,1,2022-10-03,21,22,1,1,1
2,1,2023-04-10,13,30,7,3,2
3,1,2022-08-22,30,47,1,0,0
4,1,2023-03-27,37,41,7,1,0
5,1,2022-05-23,28,53,2,1,2
6,1,2023-07-24,41,59,0,5,2
7,1,2023-01-16,22,64,1,3,1
8,1,2024-04-15,16,56,4,0,0
9,1,2022-02-07,31,45,0,5,2
10,1,2024-06-17,35,49,5,1,1
11,1,2022-05-09,21,27,0,4,2
12,1,2023-07-17,42,49,0,2,1
13,1,2022-12-19,15,51,0,5,1
14,1,2022-06-27,16,51,3,2,2
15,1,2022-07-25,41,70,6,1,0
16,1,2023-02-06,30,64,4,4,2
17,1,2022-10-10,22,63,8,4,1
18,1,2022-11-21,13,41,1,5,1
19,1,2023-12-11,44,39,3,2,2
20,1,2023-10-23,41,60,6,3,0
21,1,2022-06-20,44,68,8,3,0
22,1,2022-09-26,29,27,8,5,1
23,1,2023-02-20,19,62,6,5,1
24,1,2023-02-20,15,47,8,5,2
25,1,2022-10-10,36,38,3,0,0
26,1,2023-03-06,32,36,2,1,0
27,1,2024-03-18,22,44,7,2,0
28,1,2022-11-21,39,58,7,0,1
29,1,2023-01-30,24,46,2,5,2
30,1,2024-06-17,12,51,7,1,0
31,1,2024-04-08,32,31,2,0,1
32,1,2022-10-03,45,62,4,5,0
33,1,2024-06-24,38,49,5,3,0
34,1,2022-03-14,30,37,6,3,1
35,1,2023-02-13,10,36,4,1,0
36,1,2022-10-10,23,64,7,4,0
37,1,2024-01-01,26,63,5,3,1
38,1,2022-10-03,26,57,2,0,0
39,1,2024-01-29,35,26,4,2,2
40,1,2023-12-25,43,26,5,0,2
41,1,2022-11-28,12,34,6,5,1
42,1,2023-11-13,26,61,2,0,1
43,1,2022-03-21,27,51,0,0,2
44,1,2024-01-29,27,60,6,5,0
45,1,2022-11-28,27,60,3,4,0
46,1,2023-03-13,41,52,7,5,2
47,1,2022-04-11,40,66,3,4,0
48,1,2024-04-01,21,49,2,5,2
49,1,2023-01-16,43,35,3,3,0
50,1,2023-03-13,30,47,7,1,2
51,1,2024-03-25,39,55,7,4,1
52,1,2024-04-15,16,41,0,0,2
53,1,2022-01-03,16,54,2,2,1
54,1,2022-05-23,15,30,8,1,2
55,1,2023-09-11,32,40,5,0,0
56,1,2024-05-06,16,65,6,4,2
57,1,2023-05-08,13,61,6,3,0
58,1,2024-03-11,38,26,7,2,1
59,1,2022-05-16,33,63,6,4,1
60,1,2024-05-13,38,62,7,0,2
61,1,2022-09-26,25,55,2,0,2
62,1,2023-03-13,18,22,7,0,2
63,1,2023-03-27,19,42,3,2,1
64,1,2022-05-02,45,58,4,5,1
65,1,2024-01-22,40,54,3,3,0
66,1,2022-07-04,42,31,5,3,0
67,1,2022-05-16,11,61,6,5,0
68,1,2024-06-10,10,70,1,0,1
69,1,2024-02-26,35,44,3,3,2
70,1,2023-07-17,16,68,6,5,1
71,1,2023-03-13,10,41,4,0,1
