interview_id,submission_id,round_number,interview_type,interview_date,interviewer,result,remarks
1,657,2,HR,2024-01-18,Nina Patel,No Show,Good communication
2,740,3,Technical,2024-05-24,Hiring Manager,Rescheduled,Excellent fit
3,81,2,Phone Screen,2023-01-28,Tech Architect,Pass,Below expectations
4,992,2,Phone Screen,2023-06-11,Tech Architect,Pass,Good communication
5,404,1,Technical,2024-05-22,Jane Doe,Rescheduled,Good communication
6,668,1,Video,2023-11-09,Hiring Manager,Pass,Excellent fit
7,107,3,Panel,2023-09-12,Scott Adams,Rescheduled,Needs improvement
8,806,1,Video,2022-09-15,Dev Lead,Rescheduled,Technical skills verified
9,859,1,Video,2023-02-11,Mark Stevens,Rescheduled,Technical skills verified
10,855,1,Video,2022-07-28,Tech Architect,Pass,Technical skills verified
11,808,1,Panel,2023-02-15,Nina Patel,No Show,Below expectations
12,89,2,Phone Screen,2023-07-02,Hiring Manager,Pass,Excellent fit
13,65,2,Technical,2023-12-04,Alice Grant,Pass,Good communication
14,232,1,Technical,2023-09-08,Tech Architect,Rescheduled,Strong candidate
15,463,2,Video,2022-08-12,Nina Patel,Pass,Needs improvement
16,996,2,Video,2022-09-25,Scott Adams,Pass,Excellent fit
17,620,2,Technical,2023-11-01,Dev Lead,Pass,Below expectations
18,744,3,Final,2023-05-13,Dev Lead,No Show,Below expectations
19,182,2,Final,2023-09-23,Scott Adams,Fail,Needs improvement
20,254,3,Final,2022-11-19,Hiring Manager,Fail,Excellent fit
21,609,1,Phone Screen,2024-02-21,Alice Grant,Pass,Good communication
22,962,2,Panel,2024-05-16,Hiring Manager,Rescheduled,Below expectations
23,845,1,Final,2023-10-04,HR Team,Pass,Technical skills verified
24,25,1,Video,2022-08-28,VP Engineering,No Show,Below expectations
25,194,1,Phone Screen,2022-09-01,VP Engineering,No Show,Below expectations
26,735,2,HR,2023-11-11,Alice Grant,Pass,Technical skills verified
27,947,2,Video,2023-09-11,Dev Lead,No Show,Strong candidate
28,269,2,Technical,2023-02-17,CTO Panel,Pass,Below expectations
29,599,2,Video,2023-08-09,Dev Lead,Pass,Technical skills verified
30,698,3,Phone Screen,2024-04-09,Alice Grant,Fail,Below expectations
31,35,1,Video,2023-09-02,Alice Grant,Pass,Technical skills verified
32,838,2,HR,2022-10-22,Mark Stevens,Pass,Technical skills verified
33,331,2,Phone Screen,2024-03-14,Jane Doe,Pass,Below expectations
34,286,2,HR,2024-05-30,CTO Panel,Fail,Below expectations
35,108,3,Technical,2023-08-09,Dev Lead,No Show,Excellent fit
36,23,3,Video,2023-06-27,Tech Architect,Pass,Good communication
37,553,3,Video,2022-12-24,Hiring Manager,Pass,Excellent fit
38,673,1,Technical,2023-08-05,CTO Panel,Pass,Good communication
39,583,1,Final,2023-05-03,Nina Patel,No Show,Technical skills verified
40,188,2,HR,2023-08-05,Nina Patel,Rescheduled,Strong candidate
41,530,1,Final,2023-07-28,Jane Doe,Fail,Below expectations
42,193,3,Panel,2023-05-12,HR Team,Pass,Below expectations
43,944,3,HR,2023-06-13,Tech Architect,Pass,Strong candidate
44,142,2,Technical,2023-05-29,Alice Grant,Pass,Needs improvement
45,399,3,Technical,2024-02-27,Tech Architect,Pass,Strong candidate
46,243,2,Video,2023-11-15,Dev Lead,Pass,Technical skills verified
47,138,1,Panel,2023-05-19,Bob Chen,Pass,Excellent fit
48,557,3,Video,2023-12-16,Mark Stevens,Pass,Needs improvement
49,965,2,Panel,2023-03-14,Nina Patel,Pass,Good communication
50,767,1,Phone Screen,2023-12-23,Scott Adams,Pass,Good communication
51,535,2,HR,2023-05-11,Nina Patel,No Show,Technical skills verified
52,848,3,Panel,2022-11-21,CTO Panel,Pass,Technical skills verified
53,374,2,Phone Screen,2022-12-01,Mark Stevens,Pass,Needs improvement
54,964,1,Panel,2022-09-21,Hiring Manager,Pass,Excellent fit
55,321,2,Video,2024-05-08,HR Team,Fail,Strong candidate
56,327,1,HR,2023-03-20,Dev Lead,Pass,Excellent fit
57,360,2,Video,2024-03-27,VP Engineering,Pass,Technical skills verified
58,827,1,Video,2023-03-17,Alice Grant,No Show,Technical skills verified
