req_id,client_id,job_title,job_category,employment_type,location,priority,openings,bill_rate,pay_rate,open_date,target_close_date,status,recruiter_owner
1,17,Actuary,Insurance,Contract,"Seattle, WA",Medium,8,103.58,73.69,2023-02-10,2023-03-28,Open,25
2,5,Actuary,Insurance,Contract,"San Jose, CA",High,9,86.66,67.58,2022-03-17,2022-06-23,Open,5
3,23,Actuary,Insurance,Contract,"San Francisco, CA",Medium,10,120.34,86.28,2023-03-25,2023-07-02,Closed,1
4,36,Risk Analyst,Finance,Contract,"Los Angeles, CA",High,9,124.54,85.98,2022-09-28,2022-11-11,Open,9
5,39,React Developer,IT,Contract,"Nashville, TN",Medium,5,107.41,75.23,2022-09-28,2022-12-31,Open,3
6,28,Financial Analyst,Finance,Contract,"Los Angeles, CA",High,8,53.53,38.19,2023-10-15,2023-12-17,Closed,23
7,36,RN - ER,Healthcare,Contract,"Portland, OR",High,6,58.95,45.66,2022-06-02,2022-09-09,Closed,18
8,28,Data Engineer,IT,Contract,"Dallas, TX",High,2,53.35,38.22,2023-01-02,2023-02-27,Open,25
9,27,Pharmacy Tech,Healthcare,Permanent,"Chicago, IL",Medium,1,0.0,121210.82,2022-06-16,2022-08-07,Open,24
10,22,Actuary,Insurance,Contract-to-Hire,"Chicago, IL",High,7,114.18,87.51,2022-10-01,2022-11-20,Open,16
11,13,Network Engineer,IT,Contract-to-Hire,"Chicago, IL",High,7,77.97,59.42,2022-08-17,2022-09-19,Open,9
12,5,Supply Chain Analyst,Logistics,Contract,"Minneapolis, MN",High,2,78.09,57.08,2023-07-04,2023-09-14,Open,6
13,17,Clinical Data Manager,Pharma,Contract,"Newark, NJ",Medium,10,58.67,42.45,2024-03-16,2024-05-25,Closed,4
14,37,RN - ICU,Healthcare,Contract,"Austin, TX",High,6,70.38,52.85,2023-06-17,2023-09-23,Filled,3
15,22,Risk Analyst,Finance,Permanent,"San Jose, CA",Low,5,0.0,88543.67,2024-01-08,2024-03-16,Filled,11
16,45,RN - ICU,Healthcare,Contract,"Minneapolis, MN",High,10,94.35,65.97,2023-01-24,2023-05-20,Closed,10
17,36,RN - ICU,Healthcare,Contract,"Detroit, MI",Medium,8,74.31,52.09,2023-09-14,2024-01-05,Filled,15
18,14,Risk Analyst,Finance,Permanent,"Newark, NJ",High,5,0.0,100488.96,2022-06-23,2022-10-15,Closed,22
19,40,Financial Analyst,Finance,Contract,"Chicago, IL",High,4,57.47,44.55,2023-11-20,2024-01-28,Open,1
20,16,Python Developer,IT,Contract-to-Hire,"Denver, CO",Low,4,98.9,74.85,2023-03-01,2023-06-19,Filled,16
21,16,RN - ICU,Healthcare,Contract,"Baltimore, MD",Medium,4,102.48,69.74,2024-02-28,2024-04-11,Open,23
22,30,Medical Coder,Healthcare,Contract,"San Jose, CA",Medium,9,94.59,73.0,2023-04-13,2023-05-30,Closed,20
23,49,SQL Developer,IT,Contract-to-Hire,"Miami, FL",Medium,3,99.01,74.45,2023-03-13,2023-06-21,Filled,15
24,49,Cloud Architect,IT,Contract,"Baltimore, MD",High,5,117.19,82.94,2023-06-18,2023-09-18,Filled,3
25,19,Compliance Officer,Finance,Contract,"Columbus, OH",High,4,71.74,51.08,2022-03-24,2022-05-10,Filled,23
26,46,Data Engineer,IT,Contract,"Columbus, OH",High,4,55.14,39.74,2023-04-23,2023-07-15,Filled,13
27,50,Telecom Engineer,Telecom,Permanent,"Austin, TX",Medium,8,0.0,135954.65,2024-02-23,2024-06-05,Open,12
28,49,React Developer,IT,Contract-to-Hire,"Philadelphia, PA",Low,4,118.28,91.71,2023-07-06,2023-10-13,Filled,8
29,28,Cloud Architect,IT,Contract-to-Hire,"Minneapolis, MN",High,8,52.32,37.34,2024-03-28,2024-06-17,Open,20
30,2,Pharmacy Tech,Healthcare,Contract-to-Hire,"Houston, TX",High,8,97.35,72.65,2023-10-21,2024-01-13,Open,2
31,25,Cloud Architect,IT,Contract,"Baltimore, MD",Medium,5,66.93,47.7,2023-01-24,2023-03-30,Open,16
